horsepower,curb-weight,engine-size,highway-mpg,wheel-base,length,price
68.0,2191,98,38,93.7,0.8039404132628545,7609.0
145.0,2818,156,24,95.9,0.8322921672272945,12764.0
143.0,2778,151,27,94.5,0.8116290245074483,22018.0
207.0,2756,194,25,89.5,0.8116290245074483,32528.0
207.0,2800,194,25,89.5,0.8116290245074483,37028.0
104.256157635468,2579,132,31,96.1,0.8721768380586257,9295.0
104.256157635468,2460,132,31,96.1,0.8495915425276309,9895.0
110.0,2658,121,28,99.1,0.8966842864007688,11850.0
110.0,2695,121,28,99.1,0.8966842864007688,12170.0
110.0,2707,121,28,99.1,0.8966842864007688,15040.0
110.0,2758,121,28,99.1,0.8966842864007688,15510.0
160.0,2808,121,26,99.1,0.8966842864007688,18150.0
160.0,2847,121,26,99.1,0.8966842864007688,18620.0
69.0,2050,97,36,93.7,0.7539644401729938,5118.0
73.0,2120,108,31,93.7,0.758769822200865,7053.0
73.0,2240,108,31,93.3,0.7558865929841423,7603.0
82.0,2145,108,37,97.2,0.8265257087938491,7126.0
82.0,2190,108,33,97.2,0.8265257087938491,7775.0
94.0,2340,108,32,97.2,0.8265257087938491,9960.0
82.0,2385,108,25,97.0,0.8265257087938491,9233.0
111.0,2510,108,29,97.0,0.8265257087938491,11259.0
82.0,2290,108,32,97.0,0.8337337818356559,7463.0
94.0,2455,108,31,97.0,0.8337337818356559,10198.0
82.0,2420,108,29,96.9,0.8342143200384431,8013.0
111.0,2650,108,23,96.9,0.8342143200384431,11694.0
62.0,1985,92,39,95.7,0.762614127823162,5348.0
62.0,2040,92,38,95.7,0.762614127823162,6338.0
62.0,2015,92,38,95.7,0.762614127823162,6488.0
62.0,2280,92,37,95.7,0.8154733301297453,6918.0
62.0,2290,92,32,95.7,0.8154733301297453,7898.0
62.0,3110,92,32,95.7,0.8154733301297453,8778.0
70.0,2081,98,37,95.7,0.7991350312349833,6938.0
70.0,2109,98,37,95.7,0.7991350312349833,7198.0
56.0,2275,110,36,95.7,0.7991350312349833,7898.0
56.0,2275,110,47,95.7,0.7991350312349833,7788.0
70.0,2094,98,47,95.7,0.7991350312349833,7738.0
70.0,2122,98,34,95.7,0.7991350312349833,8358.0
70.0,2140,98,34,95.7,0.7991350312349833,9258.0
70.0,2169,98,34,94.5,0.810667948101874,8058.0
70.0,2204,98,34,94.5,0.810667948101874,8238.0
112.0,2265,98,29,94.5,0.810667948101874,9298.0
112.0,2300,98,29,94.5,0.810667948101874,9538.0
116.0,2540,146,30,98.4,0.8467083133109082,8449.0
116.0,2536,146,30,98.4,0.8467083133109082,9639.0
116.0,2551,146,30,98.4,0.8467083133109082,9989.0
116.0,2679,146,30,98.4,0.8467083133109082,11199.0
116.0,2714,146,30,98.4,0.8467083133109082,11549.0
116.0,2975,146,30,98.4,0.8467083133109082,17669.0
92.0,2326,122,34,102.4,0.8438250840941854,8948.0
73.0,2480,110,33,102.4,0.8438250840941854,10698.0
92.0,2414,122,32,102.4,0.8438250840941854,9988.0
92.0,2458,122,32,102.4,0.8438250840941854,11248.0
161.0,2976,171,24,102.9,0.8817876021143681,16558.0
161.0,3016,171,24,102.9,0.8817876021143681,15998.0
156.0,3131,171,24,104.5,0.9024507448342144,15690.0
156.0,3151,161,24,104.5,0.9024507448342144,15750.0
52.0,2261,97,46,97.3,0.8250840941854877,7775.0
85.0,2209,109,34,97.3,0.8250840941854877,7975.0
52.0,2264,97,46,97.3,0.8250840941854877,7995.0
85.0,2212,109,34,97.3,0.8250840941854877,8195.0
85.0,2275,109,34,97.3,0.8250840941854877,8495.0
68.0,2319,97,42,97.3,0.8250840941854877,9495.0
100.0,2300,109,32,97.3,0.8250840941854877,9995.0
90.0,2254,109,29,94.5,0.7654973570398848,11595.0
90.0,2221,109,29,94.5,0.7962518020182604,9980.0
110.0,2661,136,24,100.4,0.8659298414223928,13295.0
68.0,2579,97,38,100.4,0.8659298414223928,13845.0
88.0,2563,109,31,100.4,0.8798654493032196,12290.0
114.0,2912,141,28,104.3,0.9072561268620856,12940.0
114.0,3034,141,28,104.3,0.9072561268620856,13415.0
114.0,2935,141,28,104.3,0.9072561268620856,15985.0
114.0,3042,141,28,104.3,0.9072561268620856,16515.0
162.0,3045,130,22,104.3,0.9072561268620856,18420.0
162.0,3157,130,22,104.3,0.9072561268620856,18950.0
114.0,2952,141,28,109.1,0.9072561268620856,16845.0
160.0,3049,141,25,109.1,0.9072561268620856,19045.0
134.0,3012,173,23,109.1,0.9072561268620856,21485.0
106.0,3217,145,27,109.1,0.9072561268620856,22470.0
114.0,3062,141,25,109.1,0.9072561268620856,22625.0
